points,threads,efficiency,error
12288,12,0.02,0.017243695256460
12288,13,0.02,0.015616091089793
12288,14,0.02,0.024079632756460
12288,15,0.01,0.025056195256460
12288,16,0.01,0.013337445256460
13312,1,0.38,0.011352057948668
13312,2,0.23,0.001135711794822
13312,3,0.17,0.000534750256361
13312,4,0.11,0.001568615128255
13312,5,0.07,0.016592653589793
13312,6,0.07,0.015991692051332
13312,7,0.06,0.007578230512870
13312,8,0.05,0.002169576666716
13312,9,0.03,0.002770538205178
13312,10,0.03,0.005775345897486
13312,11,0.05,0.006676788205178
13312,12,0.02,0.012986884359024
13312,13,0.02,0.015991692051332
13312,14,0.02,0.026808999743639
13312,15,0.05,0.028010922820562
13312,16,0.02,0.017794576666716
14336,1,0.41,0.008518953553064
14336,2,0.24,0.000985471410207
14336,3,0.15,0.000148417838778
14336,4,0.13,0.004054667838778
14336,5,0.17,0.008780153589793
14336,6,0.08,0.008780153589793
14336,7,0.06,0.008780153589793
14336,8,0.05,0.002380560695921
14336,9,0.04,0.005710957161222
14336,10,0.03,0.007664082161222
14336,11,0.03,0.004594885732650
14336,12,0.03,0.004873903589793
14336,13,0.03,0.012686403589793
14336,14,0.02,0.027195332161222
14336,15,0.02,0.027195332161222
14336,16,0.02,0.019940867875508
15360,1,0.37,0.011011513076873
15360,2,0.29,0.002157346410207
15360,3,0.19,0.005915570256460
15360,4,0.11,0.000707236923127
15360,5,0.12,0.002009320256460
15360,6,0.08,0.010230263076873
15360,7,0.06,0.004353070256460
15360,8,0.05,0.009040570256460
15360,9,0.07,0.013467653589793
15360,10,0.04,0.014509320256460
15360,11,0.03,0.010342653589793
15360,12,0.04,0.011123903589793
15360,13,0.02,0.025967653589793
15360,14,0.02,0.031957236923127
15360,15,0.02,0.031436403589793
15360,16,0.02,0.021540570256460
16384,1,0.48,0.001473752660207
16384,2,0.29,0.006112424535207
16384,3,0.18,0.004385622339793
16384,4,0.13,0.013924924535207
16384,5,0.12,0.021737424535207
16384,6,0.08,0.012460080785207
16384,7,0.07,0.000497190160207
16384,8,0.04,0.008291872339793
16384,9,0.05,0.012442262964793
16384,10,0.05,0.013418825464793
16384,11,0.04,0.009512575464793
16384,12,0.03,0.014639528589793
16384,13,0.02,0.023184450464793
16384,14,0.03,0.027823122339793
16384,15,0.02,0.027578981714793
16384,16,0.02,0.026114137964793
17408,1,0.42,0.002249258174913
17408,2,0.31,0.002938596410207
17408,3,0.24,0.002249258174913
17408,4,0.14,0.013968008174913
17408,5,0.12,0.020631611116089
17408,6,0.09,0.015576464057266
17408,7,0.06,0.002479037586677
17408,8,0.06,0.006252580060381
17408,9,0.04,0.012686403589793
17408,10,0.04,0.012686403589793
17408,11,0.05,0.010848168295676
17408,12,0.03,0.015673535942734
17408,13,0.03,0.023945594766264
17408,14,0.02,0.025554050648617
17408,15,0.02,0.024175374178029
17408,16,0.02,0.023026477119205
18432,1,0.52,0.001419499187985
18432,2,0.33,0.002287554743540
18432,3,0.19,0.002938596410207
18432,4,0.09,0.009014985299096
18432,5,0.12,0.019648665854651
18432,6,0.10,0.019865679743540
18432,7,0.07,0.003589638076873
18432,8,0.08,0.004439875812015
18432,9,0.03,0.011384320256460
18432,10,0.04,0.012469389700904
18432,11,0.04,0.009865223034238
18432,12,0.02,0.016158625812015
18432,13,0.03,0.023320084145349
18432,14,0.02,0.023754111923127
18432,15,0.04,0.022452028589793
18432,16,0.05,0.021800986923127
19456,1,0.42,0.000882675357575
19456,2,0.29,0.002321820094417
19456,3,0.22,0.007256030620733
19456,4,0.17,0.007461622725996
19456,5,0.07,0.019591556936523
19456,6,0.09,0.020413925357575
19456,7,0.07,0.005611293778628
19456,8,0.06,0.002201206221372
19456,9,0.03,0.009396929905583
19456,10,0.05,0.010630482537162
19456,11,0.04,0.006313048326635
19456,12,0.03,0.015359100958214
19456,13,0.03,0.024610745695056
19456,14,0.02,0.027489035168741
19456,15,0.03,0.021115679905583
19456,16,0.02,0.018648574642425
20480,1,0.43,0.002157346410207
20480,2,0.37,0.005868283910207
20480,3,0.24,0.006454221410207
20480,4,0.17,0.005868283910207
20480,5,0.13,0.016415158910207
20480,6,0.09,0.018954221410207
20480,7,0.14,0.007626096410207
20480,8,0.10,0.001748903589793
20480,9,0.09,0.007998903589793
20480,10,0.05,0.009561403589793
20480,11,0.04,0.007217653589793
20480,12,0.03,0.012881716089793
20480,13,0.03,0.024405153589793
20480,14,0.03,0.027334841089793
20480,15,0.04,0.025381716089793
20480,16,0.02,0.017959841089793
21504,1,0.53,0.004426691648302
21504,2,0.31,0.006658834505445
21504,3,0.27,0.004984727362588
21504,4,0.18,0.004798715457826
21504,5,0.14,0.017633536886397
21504,6,0.09,0.016517465457826
21504,7,0.07,0.011495144029254
21504,8,0.06,0.001153665494555
21504,9,0.05,0.003757832161222
21504,10,0.05,0.008408129780269
21504,11,0.05,0.007106046446936
21504,12,0.04,0.010454260732650
21504,13,0.05,0.020498903589793
21504,14,0.03,0.027381344065984
21504,15,0.03,0.024405153589793
21504,16,0.02,0.020684915494555
22528,1,0.47,0.008442857773843
22528,2,0.39,0.005069278228389
22528,3,0.25,0.007022403228389
22528,4,0.30,0.003116153228389
22528,5,0.17,0.014124675955661
22528,6,0.10,0.017498255501116
22528,7,0.08,0.009863312319298
22528,8,0.07,0.001518141864752
22528,9,0.07,0.004873903589793
22528,10,0.05,0.007537255862521
22528,11,0.03,0.008069926317066
22528,12,0.04,0.011265949044339
22528,13,0.03,0.020676460407975
22528,14,0.03,0.021919358135248
22528,15,0.01,0.024050039953430
22528,16,0.02,0.020498903589793
23552,1,0.38,0.005655987714555
23552,2,0.60,0.004636965975424
23552,3,0.28,0.008033705105859
23552,4,0.26,0.003787781192815
23552,5,0.15,0.012789139888468
23552,6,0.12,0.019582618149337
23552,7,0.08,0.010411422497163
23552,8,0.07,0.003448107279772
23552,9,0.06,0.003345370981098
23552,10,0.05,0.002156512285445
23552,11,0.04,0.007081784024576
23552,12,0.05,0.010478523155011
23552,13,0.04,0.016083142720228
23552,14,0.03,0.021687762285445
23552,15,0.05,0.023216294894141
23552,16,0.04,0.021857599241967
24576,1,0.46,0.004403440160207
24576,2,0.36,0.007333127660207
24576,3,0.28,0.010100054743540
24576,4,0.22,0.004403440160207
24576,5,0.26,0.009286252660207
24576,6,0.12,0.016284950576873
24576,7,0.10,0.011564898493540
24576,8,0.08,0.007495888076873
24576,9,0.07,0.002920778589793
24576,10,0.06,0.003897341089793
24576,11,0.04,0.007966351506460
24576,12,0.04,0.010733278589793
24576,13,0.04,0.016755414006460
24576,14,0.04,0.017731976506460
24576,15,0.04,0.020010622339793
24576,16,0.03,0.021800986923127
25600,1,0.52,0.001219846410207
25600,2,0.35,0.004813596410207
25600,3,0.46,0.008719846410207
25600,4,0.24,0.007469846410207
25600,5,0.28,0.008407346410207
25600,6,0.11,0.018251096410207
25600,7,0.09,0.012626096410207
25600,8,0.09,0.006063596410207
25600,9,0.08,0.002217653589793
25600,10,0.06,0.000967653589793
25600,11,0.04,0.002217653589793
25600,12,0.11,0.010811403589793
25600,13,0.04,0.017061403589793
25600,14,0.03,0.014405153589793
25600,15,0.04,0.017061403589793
25600,16,0.03,0.017530153589793
26624,1,0.55,0.001869095897486
26624,2,0.43,0.006844846410207
26624,3,0.26,0.008347250256361
26624,4,0.20,0.006243884871745
26624,5,0.19,0.005943404102514
26624,6,0.13,0.016760711794822
26624,7,0.11,0.013455423333284
26624,8,0.07,0.008497490640976
26624,9,0.07,0.000534750256361
26624,10,0.06,0.001568615128255
26624,11,0.05,0.000366692051332
26624,12,0.06,0.009831836282101
26624,13,0.05,0.017343855512870
26624,14,0.03,0.015390730512870
26624,15,0.03,0.012836643974409
26624,16,0.04,0.013287365128255
27648,1,0.54,0.005307931367571
27648,2,0.36,0.006844846410207
27648,3,0.35,0.006266142706503
27648,4,0.20,0.006700170484281
27648,5,0.28,0.005398087150948
27648,6,0.14,0.013355263076873
27648,7,0.10,0.011908503817614
27648,8,0.09,0.008870309373170
27648,9,0.08,0.004096003817614
27648,10,0.06,0.000334429743540
27648,11,0.06,0.001057809373170
27648,12,0.05,0.005741959145349
27648,13,0.04,0.017605385071275
27648,14,0.06,0.016592653589793
27648,15,0.03,0.013843810997201
27648,16,0.03,0.013120431367571
28672,1,0.56,0.007943100018365
28672,2,0.42,0.005868283910207
28672,3,0.33,0.006565828553064
28672,4,0.26,0.005728774981635
28672,5,0.18,0.005031230338778
28672,6,0.15,0.011867167838778
28672,7,0.14,0.011169623195921
28672,8,0.11,0.009914042838778
28672,9,0.08,0.003078105338778
28672,10,0.09,0.000008908910207
28672,11,0.04,0.003217614267350
28672,12,0.06,0.002502251804079
28672,13,0.04,0.015755600018365
28672,14,0.03,0.017429707161222
28672,15,0.04,0.015476582161222
28672,16,0.03,0.010593769661222
29696,1,0.55,0.008376058762207
29696,2,0.39,0.004420277444690
29696,3,0.33,0.009134717099862
29696,4,0.24,0.007653036065379
29696,5,0.19,0.005497863651586
29696,6,0.16,0.009538811927448
29696,7,0.12,0.011963380892965
29696,8,0.10,0.011289889513655
29696,9,0.08,0.004016182617103
29696,10,0.07,0.004554975720552
29696,11,0.04,0.003477389513655
29696,12,0.06,0.003392222555310
29696,13,0.04,0.014168084624276
29696,14,0.05,0.017939636348414
29696,15,0.04,0.014302782900138
29696,16,0.03,0.010800627727724
30720,1,0.58,0.010472861923127
30720,2,0.27,0.006063596410207
30720,3,0.31,0.008146929743540
30720,4,0.20,0.005933388076873
30720,5,0.17,0.004761513076873
30720,6,0.16,0.009449013076873
30720,7,0.14,0.011922971410207
30720,8,0.10,0.011792763076873
30720,9,0.09,0.005152138076873
30720,10,0.08,0.006324013076873
30720,11,0.06,0.005282346410207
30720,12,0.05,0.000837445256460
30720,13,0.05,0.009170778589793
30720,14,0.04,0.015941611923127
30720,15,0.03,0.015290570256460
30720,16,0.03,0.013858278589793
31744,1,0.60,0.009032169718825
31744,2,0.46,0.008104927055368
31744,3,0.35,0.009995048023110
31744,4,0.23,0.007852910926336
31744,5,0.23,0.006088798023110
31744,6,0.15,0.008356943184400
31744,7,0.12,0.008230935119884
31744,8,0.19,0.010121056087626
31744,9,0.10,0.004954725442465
31744,10,0.07,0.005206741571497
31744,11,0.08,0.004702709313433
31744,12,0.07,0.000337613267213
31744,13,0.05,0.009914226170438
31744,14,0.04,0.014324508428503
31744,15,0.04,0.015458581009148
31744,16,0.04,0.012308379396245
32768,1,0.86,0.010000856714793
32768,2,0.41,0.009042112035207
32768,3,0.31,0.007577268285207
32768,4,0.26,0.008553830785207
32768,5,0.39,0.007333127660207
32768,6,0.14,0.006234494847707
32768,7,0.05,0.006722776097707
32768,8,0.10,0.008553830785207
32768,9,0.09,0.006356565160207
32768,10,0.08,0.007088987035207
32768,11,0.07,0.007455197972707
32768,12,0.05,0.000375119847707
32768,13,0.06,0.008047731714793
32768,14,0.04,0.010977419214793
32768,15,0.04,0.014273317652293
32768,16,0.03,0.013296755152293
33792,1,0.54,0.011621062680702
33792,2,0.40,0.007199960046570
33792,3,0.29,0.007673444895055
33792,4,0.26,0.008620414592025
33792,5,0.21,0.007555073682934
33792,6,0.16,0.006726475198086
33792,7,0.10,0.005424391864752
33792,8,0.10,0.009685755501116
33792,9,0.10,0.006608103985964
33792,10,0.09,0.007318331258692
33792,11,0.06,0.008738785804146
33792,12,0.06,0.001281399440510
33792,13,0.06,0.005820873286763
33792,14,0.04,0.010792464195854
33792,15,0.05,0.013633373286763
33792,16,0.03,0.013159888438278
34816,1,0.66,0.010503499178029
34816,2,0.42,0.007304405233736
34816,3,0.33,0.007419294939619
34816,4,0.26,0.007074625821971
34816,5,0.17,0.006270397880795
34816,6,0.28,0.006270397880795
34816,7,0.11,0.004202383174913
34816,8,0.13,0.009487309645501
34816,9,0.10,0.006729956704324
34816,10,0.06,0.007649074351383
34816,11,0.07,0.007993743469030
34816,12,0.06,0.003283265527854
34816,13,0.05,0.007056808001558
34816,14,0.05,0.010733278589793
34816,15,0.05,0.010273719766264
34816,16,0.03,0.011767285942734
35840,1,0.64,0.009226582161222
35840,2,0.47,0.007960917838778
35840,3,0.39,0.007849310695921
35840,4,0.27,0.007068060695921
35840,5,0.21,0.005282346410207
35840,6,0.17,0.006956453553064
35840,7,0.13,0.003719846410207
35840,8,0.13,0.006175203553064
35840,9,0.10,0.005505560695921
35840,10,0.10,0.007402882124492
35840,11,0.08,0.011085917838778
35840,12,0.06,0.004612703553064
35840,13,0.09,0.005989975018365
35840,14,0.06,0.008333725018365
35840,15,0.05,0.009338189304079
35840,16,0.04,0.012686403589793
36864,1,0.64,0.010733278589793
36864,2,0.53,0.006302311687985
36864,3,0.36,0.008146929743540
36864,4,0.28,0.003915158910207
36864,5,0.25,0.005217242243540
36864,6,0.19,0.006627832521318
36864,7,0.22,0.003589638076873
36864,8,0.11,0.004240679743540
36864,9,0.10,0.003481131132429
36864,10,0.08,0.007712901965762
36864,11,0.17,0.010534082521318
36864,12,0.07,0.005651270021318
36864,13,0.09,0.005416438312015
36864,14,0.06,0.008563139700904
36864,15,0.05,0.011167306367571
36864,16,0.04,0.010516264700904
37888,1,0.61,0.010574917103307
37888,2,0.46,0.004838934248045
37888,3,0.35,0.006633697761558
37888,4,0.32,0.003255319383180
37888,5,0.21,0.004733359923720
37888,6,0.15,0.006950420734531
37888,7,0.14,0.001882853166964
37888,8,0.12,0.004627785599396
37888,9,0.10,0.004311062626423
37888,10,0.08,0.008111738302099
37888,11,0.07,0.009167481545342
37888,12,0.05,0.005683528842639
37888,13,0.05,0.003184714400604
37888,14,0.07,0.007618836022226
37888,15,0.04,0.009730322508712
37888,16,0.04,0.009202450887091
38912,1,0.44,0.008677357537162
38912,2,0.46,0.005200109568101
38912,3,0.38,0.005816885883891
38912,4,0.39,0.003349780620733
38912,5,0.22,0.005200109568101
38912,6,0.18,0.007461622725996
38912,7,0.16,0.001088267462838
38912,8,0.13,0.001705043778628
38912,9,0.12,0.004891721410207
38912,10,0.08,0.007770010883891
38912,11,0.11,0.010134320094417
38912,12,0.09,0.001396655620733
38912,13,0.06,0.003640350958214
38912,14,0.08,0.007752193063477
38912,15,0.03,0.009808114116109
38912,16,0.04,0.014639528589793
39936,1,0.82,0.001768935641075
39936,2,0.51,0.002970858717998
39936,3,0.39,0.001969256153896
39936,4,0.31,0.005843243846104
39936,5,0.22,0.003539557948668
39936,6,0.19,0.001067813846203
39936,7,0.17,0.004272942051332
39936,8,0.13,0.000867493333383
39936,9,0.09,0.002137314358925
39936,10,0.10,0.005943404102514
39936,11,0.08,0.007345647692258
39936,12,0.07,0.002838436153797
39936,13,0.07,0.003071018974409
39936,14,0.10,0.006676788205178
39936,15,0.05,0.010783358717998
39936,16,0.04,0.014188807435947
40960,1,0.61,0.006045778589793
40960,2,0.49,0.003311403589793
40960,3,0.33,0.001358278589793
40960,4,0.30,0.004305783910207
40960,5,0.28,0.006063596410207
40960,6,0.20,0.001846559839793
40960,7,0.16,0.003702028589793
40960,8,0.23,0.001553591089793
40960,9,0.06,0.000008908910207
40960,10,0.09,0.004891721410207
40960,11,0.09,0.007040158910207
40960,12,0.08,0.001864377660207
40960,13,0.05,0.002237184839793
40960,14,0.06,0.004873903589793
40960,15,0.05,0.009756716089793
40960,16,0.04,0.013467653589793
41984,1,0.60,0.007922684077598
41984,2,0.51,0.005350275541013
41984,3,0.36,0.000681830419062
41984,4,0.30,0.002652773239475
41984,5,0.23,0.006463748849231
41984,6,0.19,0.002110946272720
41984,7,0.12,0.001062927980037
41984,8,0.13,0.001539299931257
41984,9,0.09,0.000842559824841
41984,10,0.10,0.004939358605329
41984,11,0.07,0.008940882995573
41984,12,0.08,0.002366950068743
41984,13,0.06,0.000872379199549
41984,14,0.07,0.004588080419062
41984,15,0.06,0.007255763345891
41984,16,0.04,0.013162775541013
43008,1,0.60,0.009059171446936
43008,2,0.76,0.004501879780269
43008,3,0.28,0.002269736923127
43008,4,0.27,0.001636513076873
43008,5,0.24,0.005635769029254
43008,6,0.18,0.001804707161222
43008,7,0.14,0.000781641685031
43008,8,0.08,0.003478814304079
43008,9,0.10,0.001339677399317
43008,10,0.16,0.006937852362588
43008,11,0.13,0.007867911886397
43008,12,0.13,0.002566572600683
43008,13,0.03,0.000148417838778
43008,14,0.05,0.004036850018365
43008,15,0.05,0.006734022637412
43008,16,0.04,0.013337445256460
44032,1,0.59,0.007599194287468
44032,2,0.49,0.003602101264212
44032,3,0.38,0.001966926845607
44032,4,0.29,0.002121009200904
44032,5,0.24,0.003756183619509
44032,6,0.21,0.001421868706072
44032,7,0.16,0.000213305712532
44032,8,0.13,0.004783060566537
44032,9,0.11,0.003057043124677
44032,10,0.08,0.006299788270672
44032,11,0.07,0.007117375479974
44032,12,0.06,0.003937869666021
44032,13,0.05,0.000150066380491
44032,14,0.04,0.003692944287468
44032,15,0.04,0.004419688473514
44032,16,0.05,0.011596287310723
45056,1,0.83,0.007803591089793
45056,2,0.46,0.003453449044339
45056,3,0.37,0.001145210407975
45056,4,0.32,0.003116153228389
45056,5,0.22,0.003027374819298
45056,6,0.27,0.001766659271611
45056,7,0.14,0.000541579364752
45056,8,0.14,0.005140238817066
45056,9,0.10,0.003275892226157
45056,10,0.11,0.004270272546570
45056,11,0.08,0.005424391864752
45056,12,0.07,0.002228369137479
45056,13,0.12,0.000434983135248
45056,14,0.06,0.002654443362521
45056,15,0.11,0.003719784271611
45056,16,0.05,0.011532284271611
46080,1,0.61,0.007912098034238
46080,2,0.52,0.004179459145349
46080,3,0.65,0.001314875812015
46080,4,0.32,0.001896929743540
46080,5,0.27,0.000855263076873
46080,6,0.19,0.002616959145349
46080,7,0.16,0.001983735299096
46080,8,0.15,0.005741959145349
46080,9,0.11,0.003050986923127
46080,10,0.10,0.003893457521318
46080,11,0.09,0.005455957521318
46080,12,0.08,0.002504568632429
46080,13,0.08,0.000074013076873
46080,14,0.08,0.002269736923127
46080,15,0.07,0.003658625812015
46080,16,0.05,0.009561403589793
47104,1,0.63,0.007506376415880
47104,2,0.48,0.003345370981098
47104,3,0.30,0.000967653589793
47104,4,0.29,0.001919574671076
47104,5,0.19,0.001749737714555
47104,6,0.20,0.000882735111532
47104,7,0.16,0.000391042062381
47104,8,0.12,0.003769963372402
47104,9,0.11,0.002156512285445
47104,10,0.11,0.002683840975424
47104,11,0.09,0.007524194236294
47104,12,0.10,0.003533025758033
47104,13,0.07,0.000373224241967
47104,14,0.07,0.000882735111532
47104,15,0.04,0.003769963372402
47104,16,0.04,0.008355561198489
48128,1,0.58,0.007865924866389
48128,2,0.49,0.002131217419580
48128,3,0.36,0.001383212100432
48128,4,0.32,0.002523037899568
48128,5,0.19,0.002523037899568
48128,6,0.39,0.002439926197441
48128,7,0.18,0.001050765291921
48128,8,0.26,0.002297440823836
48128,9,0.12,0.005206350398304
48128,10,0.11,0.001276362367654
48128,11,0.06,0.007011069814462
48128,12,0.08,0.002107479388930
48128,13,0.08,0.000029686835739
48128,14,0.07,0.002048105717453
48128,15,0.06,0.003959674866389
48128,16,0.06,0.007782813164261
49152,1,1.07,0.007152549423127
49152,2,0.47,0.000886273381460
49152,3,0.38,0.000479372339793
49152,4,0.58,0.001310992243540
49152,5,0.19,0.002287554743540
49152,6,0.20,0.002613075576873
49152,7,0.15,0.001049033798127
49152,8,0.13,0.002432497339793
49152,9,0.11,0.006175986923127
49152,10,0.10,0.000235231714793
49152,11,0.09,0.006437945368540
49152,12,0.11,0.000497190160207
49152,13,0.07,0.000578570368540
49152,14,0.07,0.002106976506460
49152,15,0.05,0.002839398381460
49152,16,0.05,0.006827028589793
50176,1,0.63,0.007265485222446
50176,2,0.81,0.001685128079589
50176,3,0.64,0.002163444406120
50176,4,0.33,0.000068698451023
50176,5,0.26,0.003735790287758
50176,6,0.20,0.002141402532656
50176,7,0.18,0.000887934202038
50176,8,0.16,0.001844566855099
50176,9,0.13,0.006787168895916
50176,10,0.11,0.000011020936732
50176,11,0.10,0.005409897430615
50176,12,0.09,0.000068698451023
50176,13,0.07,0.000170459712242
50176,14,0.06,0.002243163793875
50176,15,0.06,0.001127092365303
50176,16,0.06,0.006468291344895
51200,1,0.52,0.005342653589793
51200,2,0.52,0.000204221410207
51200,3,0.45,0.003311403589793
51200,4,0.32,0.000594846410207
51200,5,0.18,0.003485471410207
51200,6,0.24,0.001688596410207
51200,7,0.19,0.000889528589793
51200,8,0.14,0.002373903589793
51200,9,0.11,0.006436403589793
51200,10,0.09,0.000030153589793
51200,11,0.10,0.006376096410207
51200,12,0.08,0.001844846410207
51200,13,0.13,0.000204221410207
51200,14,0.07,0.001514528589793
51200,15,0.05,0.002061403589793
51200,16,0.05,0.006748903589793
52224,1,0.62,0.005793021236852
52224,2,0.52,0.000737874178029
52224,3,0.43,0.000967653589793
52224,4,0.36,0.000487616018050
52224,5,0.20,0.003091782684717
52224,6,0.21,0.000717395429815
52224,7,0.19,0.001044246727048
52224,8,0.15,0.000257836606285
52224,9,0.14,0.006865325158421
52224,10,0.10,0.000793988567070
52224,11,0.17,0.004240679743540
52224,12,0.08,0.002019478763148
52224,13,0.08,0.000181243469030
52224,14,0.07,0.003418633981950
52224,15,0.07,0.001810178099597
52224,16,0.05,0.004107972217244
53248,1,0.69,0.005024143974409
53248,2,0.54,0.001268134359024
53248,3,0.33,0.001643735320562
53248,4,0.35,0.000516932435947
53248,5,0.25,0.001736673333284
